title,award_class,award_category,name
Ray's Male Heterosexual Dance Hall,Title,SHORT FILM (Live Action),"Jonathan Sanger and Jana Sue Memel, Producers"
Reap the Wild Wind,Production,VISUAL EFFECTS,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop"
Rebecca,Production,CINEMATOGRAPHY (Black-and-White),George Barnes
Rebecca,Title,BEST PICTURE,Selznick International Pictures
Reds,Acting,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton
Reds,Production,CINEMATOGRAPHY,Vittorio Storaro
Reds,Directing,DIRECTING,Warren Beatty
Restoration,Production,ART DIRECTION,Eugenio Zanetti
Restoration,Production,COSTUME DESIGN,James Acheson
Return of the Jedi,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett"
Reversal of Fortune,Acting,ACTOR IN A LEADING ROLE,Jeremy Irons
Road to Perdition,Production,CINEMATOGRAPHY,Conrad L. Hall
Robert Frost: A Lover's Quarrel with the World,Title,DOCUMENTARY (Feature),"Robert Hughes, Producer"
Robert Kennedy Remembered,Title,SHORT FILM (Live Action),"Charles Guggenheim, Producer"
RoboCop,Special,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),"Stephen Flick, John Pospisil"
Rocketman,Music,MUSIC (Original Song),Music by Elton John; Lyric by Bernie Taupin
Rocky,Directing,DIRECTING,John G. Avildsen
Rocky,Production,FILM EDITING,"Richard Halsey, Scott Conrad"
Rocky,Title,BEST PICTURE,"Irwin Winkler and Robert Chartoff, Producers"
Roma,Production,CINEMATOGRAPHY,Alfonso Cuarón
Roma,Directing,DIRECTING,Alfonso Cuarón
Roma,Title,INTERNATIONAL FEATURE FILM,Mexico
Roman Holiday,Acting,ACTRESS,Audrey Hepburn
Roman Holiday,Production,COSTUME DESIGN (Black-and-White),Edith Head
Roman Holiday,Writing,WRITING (Original Story),Dalton Trumbo
Romeo and Juliet,Production,CINEMATOGRAPHY,Pasqualino De Santis
Romeo and Juliet,Production,COSTUME DESIGN,Danilo Donati
Room,Acting,ACTRESS IN A LEADING ROLE,Brie Larson
Room at the Top,Acting,ACTRESS,Simone Signoret
Room at the Top,Writing,WRITING (Adapted Screenplay),Neil Paterson
Rosemary's Baby,Acting,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon
Ryan,Title,SHORT FILM (Animated),Chris Landreth
Ryan's Daughter,Acting,ACTOR IN A SUPPORTING ROLE,John Mills
Ryan's Daughter,Production,CINEMATOGRAPHY,Freddie Young
Sabrina,Production,COSTUME DESIGN (Black-and-White),Edith Head
Samson and Delilah,Production,ART DIRECTION (Color),"Art Direction: Hans Dreier, Walter Tyler; Set Decoration: Sam Comer, Ray Moyer"
Samson and Delilah,Production,COSTUME DESIGN (Color),"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling"
"Samurai, The Legend of Musashi",Title,INTERNATIONAL FEATURE FILM,NA
San Francisco,Production,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Save the Tiger,Acting,ACTOR,Jack Lemmon
Saving Face,Title,DOCUMENTARY (Short Subject),Daniel Junge and Sharmeen Obaid-Chinoy
Saving Private Ryan,Production,CINEMATOGRAPHY,Janusz Kaminski
Saving Private Ryan,Directing,DIRECTING,Steven Spielberg
Saving Private Ryan,Production,FILM EDITING,Michael Kahn
Saving Private Ryan,Production,SOUND,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins"
Saving Private Ryan,Production,SOUND EDITING,"Gary Rydstrom, Richard Hymns"
Sayonara,Acting,ACTOR IN A SUPPORTING ROLE,Red Buttons
Sayonara,Acting,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki
Sayonara,Production,ART DIRECTION,Art Direction: Ted Haworth; Set Decoration: Robert Priestley
Sayonara,Production,SOUND RECORDING,"Warner Bros. Studio Sound Department, George Groves, Sound Director"
Scared Straight!,Title,DOCUMENTARY (Feature),"Arnold Shapiro, Producer"
Scent of a Woman,Acting,ACTOR IN A LEADING ROLE,Al Pacino
Schindler's List,Production,ART DIRECTION,Art Direction: Allan Starski; Set Decoration: Ewa Braun
Schindler's List,Production,CINEMATOGRAPHY,Janusz Kaminski
Schindler's List,Directing,DIRECTING,Steven Spielberg
Schindler's List,Production,FILM EDITING,Michael Kahn
Schindler's List,Music,MUSIC (Original Score),John Williams
Schindler's List,Title,BEST PICTURE,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers"
Schindler's List,Writing,WRITING (Adapted Screenplay),Steven Zaillian
Seal Island,Title,SHORT SUBJECT (Two-reel),"Walt Disney, Producer"
Searching for Sugar Man,Title,DOCUMENTARY (Feature),Malik Bendjelloul and Simon Chinn
Seawards the Great Ships,Title,SHORT FILM (Live Action),Templar Film Studios
Seeds of Destiny,Title,DOCUMENTARY (Short Subject),United States Department of War
Selma,Music,MUSIC (Original Song),Music and Lyric by John Stephens and Lonnie Lynn
Sense and Sensibility,Writing,WRITING (Adapted Screenplay),Emma Thompson
Sentinels of Silence,Title,DOCUMENTARY (Short Subject),"Manuel Arango and Robert Amram, Producers"
Sentinels of Silence,Title,SHORT FILM (Live Action),"Manuel Arango and Robert Amram, Producers"
Separate Tables,Acting,ACTOR,David Niven
Separate Tables,Acting,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller
Serengeti Shall Not Die,Title,DOCUMENTARY (Feature),"Bernhard Grzimek, Producer"
Sergeant York,Acting,ACTOR,Gary Cooper
Sergeant York,Production,FILM EDITING,William Holmes
Session Man,Title,SHORT FILM (Live Action),"Seth Winston, Rob Fried"
Seven Brides for Seven Brothers,Music,MUSIC (Original Song Score or Adaptation Score),"Adolph Deutsch, Saul Chaplin"
Seven Days to Noon,Writing,WRITING (Original Story),"Paul Dehn, James Bernard"
Shaft,Music,MUSIC (Original Song),Music and Lyrics by Isaac Hayes
Shakespeare in Love,Acting,ACTRESS IN A LEADING ROLE,Gwyneth Paltrow
Shakespeare in Love,Acting,ACTRESS IN A SUPPORTING ROLE,Judi Dench
Shakespeare in Love,Production,ART DIRECTION,Art Direction: Martin Childs; Set Decoration: Jill Quertier
Shakespeare in Love,Production,COSTUME DESIGN,Sandy Powell
Shakespeare in Love,Music,MUSIC (Original Song Score or Adaptation Score),Stephen Warbeck
Shakespeare in Love,Title,BEST PICTURE,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers"
Shakespeare in Love,Writing,WRITING (Original Screenplay),"Marc Norman, Tom Stoppard"
Shampoo,Acting,ACTRESS IN A SUPPORTING ROLE,Lee Grant
Shane,Production,CINEMATOGRAPHY (Color),Loyal Griggs
Shanghai Express,Production,CINEMATOGRAPHY,Lee Garmes
She Wore a Yellow Ribbon,Production,CINEMATOGRAPHY (Color),Winton Hoch
Shine,Acting,ACTOR IN A LEADING ROLE,Geoffrey Rush
Ship of Fools,Production,ART DIRECTION (Black-and-White),Art Direction: Robert Clatworthy; Set Decoration: Joseph Kish
Ship of Fools,Production,CINEMATOGRAPHY (Black-and-White),Ernest Laszlo
Shrek,Title,ANIMATED FEATURE FILM,Aron Warner
Sideways,Writing,WRITING (Adapted Screenplay),Screenplay by Alexander Payne & Jim Taylor
Silver Linings Playbook,Acting,ACTRESS IN A LEADING ROLE,Jennifer Lawrence
Since You Went Away,Music,MUSIC (Original Score),Max Steiner
Sing,Title,SHORT FILM (Live Action),Kristof Deák and Anna Udvardy
Six Shooter,Title,SHORT FILM (Live Action),Martin McDonagh
Skin,Title,SHORT FILM (Live Action),Guy Nattiv and Jaime Ray Newman
Skippy,Directing,DIRECTING,Norman Taurog
Skyfall,Music,MUSIC (Original Song),Music and Lyric by Adele Adkins and Paul Epworth
Skyfall,Production,SOUND EDITING,Per Hallberg and Karen Baker Landers
Sleepy Hollow,Production,ART DIRECTION,Art Direction: Rick Heinrichs; Set Decoration: Peter Young
Sling Blade,Writing,WRITING (Adapted Screenplay),Billy Bob Thornton
Slumdog Millionaire,Production,CINEMATOGRAPHY,Anthony Dod Mantle
Slumdog Millionaire,Directing,DIRECTING,Danny Boyle
Slumdog Millionaire,Production,FILM EDITING,Chris Dickens
Slumdog Millionaire,Music,MUSIC (Original Score),A.R. Rahman
Slumdog Millionaire,Music,MUSIC (Original Song),Music by A.R. Rahman; Lyric by Gulzar
Slumdog Millionaire,Title,BEST PICTURE,"Christian Colson, Producer"
Slumdog Millionaire,Production,SOUND MIXING,"Ian Tapp, Richard Pryke and Resul Pookutty"
Slumdog Millionaire,Writing,WRITING (Adapted Screenplay),Screenplay by Simon Beaufoy
Smile Pinki,Title,DOCUMENTARY (Short Subject),Megan Mylan
So Much for So Little,Title,DOCUMENTARY (Short Subject),"Edward Selzer, Producer"
So This Is Harris,Title,SHORT SUBJECT (Comedy),"Louis Brock, Producer"
Some Like It Hot,Production,COSTUME DESIGN (Black-and-White),Orry-Kelly
Somebody Up There Likes Me,Production,ART DIRECTION (Black-and-White),"Art Direction: Cedric Gibbons, Malcolm F. Brown; Set Decoration: Edwin B. Willis, F. Keogh Gleason"
Somebody Up There Likes Me,Production,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg
Son of Saul,Title,INTERNATIONAL FEATURE FILM,Hungary
Song of the South,Music,MUSIC (Original Song),Music by Allie Wrubel; Lyrics by Ray Gilbert
Song of the South,Special,SPECIAL AWARD,NA
Song without End (The Story of Franz Liszt),Music,MUSIC (Original Song Score or Adaptation Score),"Morris Stoloff, Harry Sukman"
Sons and Lovers,Production,CINEMATOGRAPHY (Black-and-White),Freddie Francis
Sons of Liberty,Title,SHORT SUBJECT (Two-reel),Warner Bros.
Sophie's Choice,Acting,ACTRESS IN A LEADING ROLE,Meryl Streep
Soul,Title,ANIMATED FEATURE FILM,Pete Docter and Dana Murray
Soul,Music,MUSIC (Original Score),"Trent Reznor, Atticus Ross and Jon Batiste"
Sound of Metal,Production,FILM EDITING,Mikkel E. G. Nielsen
Sound of Metal,Production,SOUND,"Nicolas Becker, Jaime Baksht, Michellee Couttolenc, Carlos Cortés and Phillip Bladh"
South Pacific,Production,SOUND,"Todd-AO Sound Department, Fred Hynes, Sound Director"
Spartacus,Acting,ACTOR IN A SUPPORTING ROLE,Peter Ustinov
Spartacus,Production,ART DIRECTION (Color),"Art Direction: Alexander Golitzen, Eric Orbom; Set Decoration: Russell A. Gausman, Julia Heron"
Spartacus,Production,CINEMATOGRAPHY (Color),Russell Metty
Spartacus,Production,COSTUME DESIGN (Color),"Valles, Bill Thomas"
Speaking of Animals and Their Families,Title,SHORT SUBJECT (One-reel),Paramount
Special Delivery,Title,SHORT FILM (Animated),"Eunice Macaulay and John Weldon, Producers"
Spectre,Music,MUSIC (Original Song),Music and Lyric by Jimmy Napes and Sam Smith
Speed,Production,SOUND,"Gregg Landaker, Steve Maslow, Bob Beemer, David R. B. MacMillan"
Speed,Production,SOUND EDITING,Stephen Hunter Flick
Speedy Gonzales,Title,SHORT FILM (Animated),"Edward Selzer, Producer"
Spellbound,Music,MUSIC (Original Score),Miklos Rozsa
Spider-Man 2,Production,VISUAL EFFECTS,"John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier"
Spider-Man: Into the Spider-Verse,Title,ANIMATED FEATURE FILM,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller"
Spielzeugland (Toyland),Title,SHORT FILM (Live Action),Jochen Alexander Freydank
Spirited Away,Title,ANIMATED FEATURE FILM,Hayao Miyazaki
Splendor in the Grass,Writing,WRITING (Original Screenplay),William Inge
Spotlight,Title,BEST PICTURE,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
Spotlight,Writing,WRITING (Original Screenplay),Written by Josh Singer & Tom McCarthy
Stagecoach,Acting,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell
Stagecoach,Music,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken"
Stairway to Light,Title,SHORT SUBJECT (One-reel),"Herbert Moulton, Producer; Jerry Bresler, Executive Producer"
Stalag 17,Acting,ACTOR,William Holden
Star Trek,Production,MAKEUP AND HAIRSTYLING,"Barney Burman, Mindy Hall and Joel Harlow"
Star Wars,Production,ART DIRECTION,"Art Direction: John Barry, Norman Reynolds, Leslie Dilley; Set Decoration: Roger Christian"
Star Wars,Production,COSTUME DESIGN,John Mollo
Star Wars,Production,FILM EDITING,"Paul Hirsch, Marcia Lucas, Richard Chew"
Star Wars,Music,MUSIC (Original Score),John Williams
Star Wars,Production,SOUND,"Don MacDougall, Ray West, Bob Minkler, Derek Ball"
Star Wars,Production,VISUAL EFFECTS,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack"
Star Wars,Special,SPECIAL ACHIEVEMENT AWARD,NA
Star in the Night,Title,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer"
State Fair,Music,MUSIC (Original Song),Music by Richard Rodgers; Lyrics by Oscar Hammerstein II
Still Alice,Acting,ACTRESS IN A LEADING ROLE,Julianne Moore
Strangers No More,Title,DOCUMENTARY (Short Subject),Karen Goodman and Kirk Simon
Strike Up the Band,Production,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Stutterer,Title,SHORT FILM (Live Action),Benjamin Cleary and Serena Armitage
Suicide Squad,Production,MAKEUP AND HAIRSTYLING,"Alessandro Bertolazzi, Giorgio Gregorini and Christopher Nelson"
Summer of '42,Music,MUSIC (Original Score),Michel Legrand
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Title,DOCUMENTARY (Feature),"Ahmir \""Questlove\"" Thompson, Joseph Patel, Robert Fyvolent and David Dinerstein"
Sundae in New York,Title,SHORT FILM (Animated),"Jimmy Picker, Producer"
Sundays and Cybele,Title,INTERNATIONAL FEATURE FILM,France
Sunrise,Production,CINEMATOGRAPHY,"Charles Rosher, Karl Struss"
Sunrise,Title,UNIQUE AND ARTISTIC PICTURE,Fox
Sunset Blvd.,Production,ART DIRECTION (Black-and-White),"Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer"
Sunset Blvd.,Music,MUSIC (Original Score),Franz Waxman
Sunset Blvd.,Writing,WRITING (Original Screenplay),"Charles Brackett, Billy Wilder, D. M. Marshman, Jr."
Superman,Special,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic"
Survival City,Title,SHORT SUBJECT (One-reel),"Edmund Reek, Producer"
Suspicion,Acting,ACTRESS,Joan Fontaine
Sweeney Todd The Demon Barber of Fleet Street,Production,ART DIRECTION,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
Sweet Bird of Youth,Acting,ACTOR IN A SUPPORTING ROLE,Ed Begley
Swing Time,Music,MUSIC (Original Song),Music by Jerome Kern; Lyrics by Dorothy Fields
Symphony of a City,Title,SHORT SUBJECT (One-reel),"Edmund H. Reek, Producer"
Syriana,Acting,ACTOR IN A SUPPORTING ROLE,George Clooney
Tabu,Production,CINEMATOGRAPHY,Floyd Crosby
Talk to Her,Writing,WRITING (Original Screenplay),Written by Pedro Almodóvar
Tango,Title,SHORT FILM (Animated),"Zbigniew Rybczynski, Producer"
Tarzan,Music,MUSIC (Original Song),Music and Lyric by Phil Collins
Taxi to the Dark Side,Title,DOCUMENTARY (Feature),Alex Gibney and Eva Orner
"Teddy, the Rough Rider",Title,SHORT SUBJECT (Two-reel),Warner Bros.
Teenage Father,Title,SHORT FILM (Live Action),"Taylor Hackford, Producer"
Tender Mercies,Acting,ACTOR IN A LEADING ROLE,Robert Duvall
Tender Mercies,Writing,WRITING (Original Screenplay),Horton Foote
Tenet,Production,VISUAL EFFECTS,"Andrew Jackson, David Lee, Andrew Lockley and Scott Fisher"
Terminator 2: Judgment Day,Production,MAKEUP AND HAIRSTYLING,"Stan Winston, Jeff Dawn"
Terminator 2: Judgment Day,Production,SOUND,"Tom Johnson, Gary Rydstrom, Gary Summers, Lee Orloff"
Terminator 2: Judgment Day,Production,SOUND EDITING,"Gary Rydstrom, Gloria S. Borders"
Terminator 2: Judgment Day,Production,VISUAL EFFECTS,"Dennis Muren, Stan Winston, Gene Warren, Jr., Robert Skotak"
Terms of Endearment,Acting,ACTOR IN A SUPPORTING ROLE,Jack Nicholson
Terms of Endearment,Acting,ACTRESS IN A LEADING ROLE,Shirley MacLaine
Terms of Endearment,Directing,DIRECTING,James L. Brooks
Terms of Endearment,Title,BEST PICTURE,"James L. Brooks, Producer"
Terms of Endearment,Writing,WRITING (Adapted Screenplay),James L. Brooks
Tess,Production,ART DIRECTION,"Art Direction: Pierre Guffroy, Jack Stephens"
Tess,Production,CINEMATOGRAPHY,"Geoffrey Unsworth, Ghislain Cloquet"
Tess,Production,COSTUME DESIGN,Anthony Powell
Thank God It's Friday,Music,MUSIC (Original Song),Music and Lyrics by Paul Jabara
That Hamilton Woman,Production,SOUND RECORDING,"General Service Sound Department, Jack Whitney, Sound Director"
That Mothers Might Live,Title,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer
The Abyss,Production,VISUAL EFFECTS,"John Bruno, Dennis Muren, Hoyt Yeatman, Dennis Skotak"
The Accidental Tourist,Acting,ACTRESS IN A SUPPORTING ROLE,Geena Davis
The Accused,Acting,ACTRESS IN A LEADING ROLE,Jodie Foster
The Adventures of Don Juan,Production,COSTUME DESIGN (Color),"Leah Rhodes, Travilla, Marjorie Best"
"The Adventures of Priscilla, Queen of the Desert",Production,COSTUME DESIGN,"Lizzy Gardiner, Tim Chappel"
The Adventures of Robin Hood,Production,ART DIRECTION,Carl J. Weyl
The Adventures of Robin Hood,Production,FILM EDITING,Ralph Dawson
The Adventures of Robin Hood,Music,MUSIC (Original Score),Erich Wolfgang Korngold
The African Queen,Acting,ACTOR,Humphrey Bogart
The Age of Innocence,Production,COSTUME DESIGN,Gabriella Pescucci
The Alamo,Production,SOUND,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
The Alaskan Eskimo,Title,DOCUMENTARY (Short Subject),"Walt Disney, Producer"
The Anderson Platoon,Title,DOCUMENTARY (Feature),"Pierre Schoendoerffer, Producer"
The Apartment,Production,ART DIRECTION (Black-and-White),Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle
The Apartment,Directing,DIRECTING,Billy Wilder
The Apartment,Production,FILM EDITING,Daniel Mandell
The Apartment,Title,BEST PICTURE,"Billy Wilder, Producer"
The Apartment,Writing,WRITING (Original Screenplay),"Billy Wilder, I. A. L. Diamond"
The Appointments of Dennis Jennings,Title,SHORT FILM (Live Action),"Dean Parisot, Steven Wright"
The Artist,Acting,ACTOR IN A LEADING ROLE,Jean Dujardin
The Artist,Production,COSTUME DESIGN,Mark Bridges
The Artist,Directing,DIRECTING,Michel Hazanavicius
The Artist,Music,MUSIC (Original Score),Ludovic Bource
The Artist,Title,BEST PICTURE,"Thomas Langmann, Producer"
The Assault,Title,INTERNATIONAL FEATURE FILM,The Netherlands
The Aviator,Acting,ACTRESS IN A SUPPORTING ROLE,Cate Blanchett
The Aviator,Production,ART DIRECTION,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
The Aviator,Production,CINEMATOGRAPHY,Robert Richardson
The Aviator,Production,COSTUME DESIGN,Sandy Powell
The Aviator,Production,FILM EDITING,Thelma Schoonmaker
The Awful Truth,Directing,DIRECTING,Leo McCarey
The Bachelor and the Bobby-Soxer,Writing,WRITING (Original Screenplay),Sidney Sheldon
The Bad and the Beautiful,Acting,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame
The Bad and the Beautiful,Production,ART DIRECTION (Black-and-White),"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Keogh Gleason"
The Bad and the Beautiful,Production,CINEMATOGRAPHY (Black-and-White),Robert Surtees
The Bad and the Beautiful,Production,COSTUME DESIGN (Black-and-White),Helen Rose
The Bad and the Beautiful,Writing,WRITING (Screenplay),Charles Schnee
The Barbarian Invasions,Title,INTERNATIONAL FEATURE FILM,Canada
The Barefoot Contessa,Acting,ACTOR IN A SUPPORTING ROLE,Edmond O'Brien
The Battle of Midway,Title,DOCUMENTARY (Feature),United States Navy
The Bells of St. Mary's,Production,SOUND RECORDING,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
The Bespoke Overcoat,Title,SHORT SUBJECT (Two-reel),Romulus Films
The Best Years of Our Lives,Acting,ACTOR,Fredric March
The Best Years of Our Lives,Acting,ACTOR IN A SUPPORTING ROLE,Harold Russell
The Best Years of Our Lives,Directing,DIRECTING,William Wyler
The Best Years of Our Lives,Production,FILM EDITING,Daniel Mandell
The Best Years of Our Lives,Music,MUSIC (Original Score),Hugo Friedhofer
The Best Years of Our Lives,Title,BEST PICTURE,Samuel Goldwyn Productions
The Best Years of Our Lives,Writing,WRITING (Screenplay),Robert E. Sherwood
The Bicycle Thief,Special,SPECIAL FOREIGN LANGUAGE FILM AWARD,NA
The Big Broadcast of 1938,Music,MUSIC (Original Song),Music by Ralph Rainger; Lyrics by Leo Robin
The Big Country,Acting,ACTOR IN A SUPPORTING ROLE,Burl Ives
The Big House,Production,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
The Big House,Writing,WRITING (Screenplay),Frances Marion
The Big Short,Writing,WRITING (Adapted Screenplay),Screenplay by Charles Randolph and Adam McKay
The Bishop's Wife,Production,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director"
The Black Stallion,Special,SPECIAL ACHIEVEMENT AWARD (Sound Editing),Alan Splet
The Black Swan,Production,CINEMATOGRAPHY (Color),Leon Shamroy
The Blind Side,Acting,ACTRESS IN A LEADING ROLE,Sandra Bullock
The Blood of Yingzhou District,Title,DOCUMENTARY (Short Subject),Ruby Yang and Thomas Lennon
The Bolero,Title,SHORT FILM (Live Action),"Allan Miller and William Fertik, Producers"
The Bourne Ultimatum,Production,FILM EDITING,Christopher Rouse
The Bourne Ultimatum,Production,SOUND EDITING,Karen Baker Landers and Per Hallberg
The Bourne Ultimatum,Production,SOUND MIXING,"Scott Millan, David Parker and Kirk Francis"
The Box,Title,SHORT FILM (Animated),"Fred Wolf, Producer"
The Boy and the Heron,Title,ANIMATED FEATURE FILM,Hayao Miyazaki and Toshio Suzuki
"The Boy, the Mole, the Fox and the Horse",Title,SHORT FILM (Animated),Charlie Mackesy and Matthew Freud
The Brave One,Writing,WRITING (Original Story),Dalton Trumbo
The Bridge of San Luis Rey,Production,ART DIRECTION,Cedric Gibbons
The Bridge on the River Kwai,Acting,ACTOR,Alec Guinness
The Bridge on the River Kwai,Production,CINEMATOGRAPHY,Jack Hildyard
The Bridge on the River Kwai,Directing,DIRECTING,David Lean
The Bridge on the River Kwai,Production,FILM EDITING,Peter Taylor
The Bridge on the River Kwai,Music,MUSIC (Scoring),Malcolm Arnold
The Bridge on the River Kwai,Title,BEST PICTURE,"Sam Spiegel, Producer"
The Bridge on the River Kwai,Writing,WRITING (Adapted Screenplay),"Michael Wilson, Carl Foreman, Pierre Boulle"
The Bridges at Toko-Ri,Production,VISUAL EFFECTS,Paramount Studio
The Broadway Melody,Title,BEST PICTURE,Metro-Goldwyn-Mayer
The Buddy Holly Story,Music,MUSIC (Original Song Score or Adaptation Score),Joe Renzetti
The Candidate,Writing,WRITING (Original Screenplay),Jeremy Larner
The Cat Concerto,Title,SHORT FILM (Animated),"Frederick Quimby, Producer"
The Champ,Acting,ACTOR,Wallace Beery
The Champ,Writing,WRITING (Original Story),Frances Marion
The Charge of the Light Brigade,Directing,ASSISTANT DIRECTOR,Jack Sullivan
The Chicken (Le Poulet),Title,SHORT FILM (Live Action),"Claude Berri, Producer"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Production,MAKEUP AND HAIRSTYLING,Howard Berger and Tami Lane
The ChubbChubbs!,Title,SHORT FILM (Animated),Eric Armstrong
The Cider House Rules,Acting,ACTOR IN A SUPPORTING ROLE,Michael Caine
The Cider House Rules,Writing,WRITING (Adapted Screenplay),John Irving
The Color of Money,Acting,ACTOR IN A LEADING ROLE,Paul Newman
The Constant Gardener,Acting,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz
The Counterfeiters,Title,INTERNATIONAL FEATURE FILM,Austria
The Country Cousin,Title,SHORT FILM (Animated),"Walt Disney, Producer"
The Country Girl,Acting,ACTRESS,Grace Kelly
The Country Girl,Writing,WRITING (Screenplay),George Seaton
The Cove,Title,DOCUMENTARY (Feature),Louie Psihoyos and Fisher Stevens
The Cowboy and the Lady,Production,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
The Critic,Title,SHORT FILM (Animated),"Ernest Pintoff, Producer"
The Crunch Bird,Title,SHORT FILM (Animated),"Ted Petok, Producer"
The Crying Game,Writing,WRITING (Original Screenplay),Neil Jordan
The Curious Case of Benjamin Button,Production,ART DIRECTION,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo
The Curious Case of Benjamin Button,Production,MAKEUP AND HAIRSTYLING,Greg Cannom
The Curious Case of Benjamin Button,Production,VISUAL EFFECTS,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron"
The Danish Girl,Acting,ACTRESS IN A SUPPORTING ROLE,Alicia Vikander
The Danish Poet,Title,SHORT FILM (Animated),Torill Kove
The Dark Angel,Production,ART DIRECTION,Richard Day
The Dark Knight,Acting,ACTOR IN A SUPPORTING ROLE,Heath Ledger
The Dark Knight,Production,SOUND EDITING,Richard King
The Dawn Patrol,Writing,WRITING (Original Story),John Monk Saunders
The Deer Hunter,Acting,ACTOR IN A SUPPORTING ROLE,Christopher Walken
The Deer Hunter,Directing,DIRECTING,Michael Cimino
The Deer Hunter,Production,FILM EDITING,Peter Zinner
The Deer Hunter,Title,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers"
The Deer Hunter,Production,SOUND,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight"
The Defiant Ones,Production,CINEMATOGRAPHY (Black-and-White),Sam Leavitt
The Defiant Ones,Writing,WRITING (Original Screenplay),"Nedrick Young, Harold Jacob Smith"
The Departed,Directing,DIRECTING,Martin Scorsese
The Departed,Production,FILM EDITING,Thelma Schoonmaker
The Departed,Title,BEST PICTURE,"Graham King, Producer"
The Departed,Writing,WRITING (Adapted Screenplay),Screenplay by William Monahan
The Descendants,Writing,WRITING (Adapted Screenplay),Screenplay by Alexander Payne and Nat Faxon & Jim Rash
The Diary of Anne Frank,Acting,ACTRESS IN A SUPPORTING ROLE,Shelley Winters
The Diary of Anne Frank,Production,ART DIRECTION (Black-and-White),"Art Direction: Lyle R. Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Stuart A. Reiss"
The Diary of Anne Frank,Production,CINEMATOGRAPHY (Black-and-White),William C. Mellor
The Dirty Dozen,Production,SOUND EDITING,John Poyner
The Discreet Charm of the Bourgeoisie,Title,INTERNATIONAL FEATURE FILM,France
The Divine Lady,Directing,DIRECTING,Frank Lloyd
The Divorcee,Acting,ACTRESS,Norma Shearer
The Dollar Bottom,Title,SHORT FILM (Dramatic Live Action),"Lloyd Phillips, Producer"
The Dot and the Line,Title,SHORT FILM (Animated),"Chuck Jones and Les Goldman, Producers"
The Dove,Production,ART DIRECTION,William Cameron Menzies
The Duchess,Production,COSTUME DESIGN,Michael O'Connor
The Eleanor Roosevelt Story,Title,DOCUMENTARY (Feature),"Sidney Glazier, Producer"
